,h,b,s,t,r1,r2,r3,a,,,
Шв. гн. 25x26x2,2.5,2.6,0.2,0.2,0.5,0,0.7,0,1.36,1.37,0.92
Шв. гн. 25x30x2,2.5,3,0.2,0.2,0.5,0,0.7,0,1.52,1.59,1.37
Шв. гн. 30x25x3,3,2.5,0.3,0.3,0.7,0,1,0,2,2.61,1.19
Шв. гн. 30x30x2,3,3,0.2,0.2,0.5,0,0.7,0,1.62,2.42,1.49
Шв. гн. 38x95x2.5,3.8,9.5,0.25,0.25,0.6,0,0.85,0,5.42,15.18,48.12
Шв. гн. 40x20x2,4,2,0.2,0.2,0.5,0,0.7,0,1.42,3.26,0.54
Шв. гн. 40x30x2,4,3,0.2,0.2,0.5,0,0.7,0,1.82,4.7,1.68
Шв. гн. 40x30x2.5,4,3,0.25,0.25,0.6,0,0.85,0,2.22,5.56,2.01
Шв. гн. 40x40x2,4,4,0.2,0.2,0.5,0,0.7,0,2.22,6.15,3.71
Шв. гн. 40x40x2.5,4,4,0.25,0.25,0.6,0,0.85,0,2.72,7.33,4.48
Шв. гн. 40x40x3,4,4,0.3,0.3,0.7,0,1,0,3.2,8.35,5.18
Шв. гн. 48x70x5,4.8,7,0.5,0.5,1.2,0,1.7,0,8.28,31.28,39.21
Шв. гн. 50x30x2,5,3,0.2,0.2,0.5,0,0.7,0,2.02,7.89,1.84
Шв. гн. 50x30x2.5,5,3,0.25,0.25,0.6,0,0.85,0,2.47,9.4,2.21
Шв. гн. 50x40x2,5,4,0.2,0.2,0.5,0,0.7,0,2.42,10.2,4.06
Шв. гн. 50x40x2.5,5,4,0.25,0.25,0.6,0,0.85,0,2.97,12.22,4.92
Шв. гн. 50x40x3,5,4,0.3,0.3,0.7,0,1,0,3.5,14.04,5.71
Шв. гн. 50x50x2.5,5,5,0.25,0.25,0.6,0,0.85,0,3.47,15.04,9.09
Шв. гн. 50x50x3,5,5,0.3,0.3,0.7,0,1,0,4.1,17.36,10.6
Шв. гн. 50x50x4,5,5,0.4,0.4,1,0,1.4,0,5.27,21.13,13.17
Шв. гн. 50x60x4,5,6,0.4,0.4,1,0,1.4,0,6.07,25.37,21.92
Шв. гн. 60x30x2.5,6,3,0.25,0.25,0.6,0,0.85,0,2.72,14.48,2.38
Шв. гн. 60x30x3,6,3,0.3,0.3,0.7,0,1,0,3.2,16.61,2.75
Шв. гн. 60x32x2.5,6,3.2,0.25,0.25,0.6,0,0.85,0,2.82,15.3,2.85
Шв. гн. 60x32x3,6,3.2,0.3,0.3,0.7,0,1,0,3.32,17.59,3.3
Шв. гн. 60x40x2,6,4,0.2,0.2,0.5,0,0.7,0,2.62,15.46,4.36
Шв. гн. 60x40x3,6,4,0.3,0.3,0.7,0,1,0,3.8,21.49,6.17
Шв. гн. 60x50x3,6,5,0.3,0.3,0.7,0,1,0,4.4,26.37,11.44
Шв. гн. 60x60x3,6,6,0.3,0.3,0.7,0,1,0,5,31.24,18.87
Шв. гн. 60x60x4,6,6,0.4,0.4,1,0,1.4,0,6.47,38.7,23.79
Шв. гн. 60x90x5,6,9,0.5,0.5,1.2,0,1.7,0,10.88,67.93,87.79
Шв. гн. 65x40x4,6.5,4,0.4,0.4,1,0,1.4,0,5.07,31.64,7.94
Шв. гн. 65x75x4,6.5,7.5,0.4,0.4,1,0,1.4,0,7.87,57.73,45.66
Шв. гн. 70x40x3,7,4,0.3,0.3,0.7,0,1,0,4.1,30.83,6.56
Шв. гн. 70x60x4,7,6,0.4,0.4,1,0,1.4,0,6.87,55.24,25.45
Шв. гн. 70x65x4,7,6.5,0.4,0.4,1,0,1.4,0,7.27,59.6,31.75
Шв. гн. 78x46x6,7.8,4.6,0.6,0.6,1.4,0,2,0,8.6,72.93,17.18
Шв. гн. 80x32x4,8,3.2,0.4,0.4,1,0,1.4,0,5.03,42.85,4.58
Шв. гн. 80x35x4,8,3.5,0.4,0.4,1,0,1.4,0,5.27,46.32,5.93
Шв. гн. 80x40x2.5,8,4,0.25,0.25,0.6,0,0.85,0,3.72,36.34,5.89
Шв. гн. 80x40x3,8,4,0.3,0.3,0.7,0,1,0,4.4,42.23,6.9
Шв. гн. 80x50x4,8,5,0.4,0.4,1,0,1.4,0,6.47,63.67,16.22
Шв. гн. 80x60x3,8,6,0.3,0.3,0.7,0,1,0,5.6,60.03,21.15
Шв. гн. 80x60x4,8,6,0.4,0.4,1,0,1.4,0,7.27,75.23,26.92
Шв. гн. 80x60x6,8,6,0.6,0.6,1.4,0,2,0,10.4,100.66,36.99
Шв. гн. 80x80x3,8,8,0.3,0.3,0.7,0,1,0,6.81,77.82,46.38
Шв. гн. 80x80x4,8,8,0.4,0.4,1,0,1.4,0,8.87,98.36,59.44
Шв. гн. 80x85x4,8,8.5,0.4,0.4,1,0,1.4,0,9.27,104.14,70.19
Шв. гн. 90x54x5,9,5.4,0.5,0.5,1.2,0,1.7,0,8.78,106.44,25.25
Шв. гн. 90x115x5,9,11.5,0.5,0.5,1.2,0,1.7,0,14.88,216.75,204.49
Шв. гн. 100x40x2.5,10,4,0.25,0.25,0.6,0,0.85,0,4.22,61.52,6.35
Шв. гн. 100x40x3,10,4,0.3,0.3,0.7,0,1,0,5,71.77,7.44
Шв. гн. 100x50x3,10,5,0.3,0.3,0.7,0,1,0,5.6,85.89,13.89
Шв. гн. 100x50x4,10,5,0.4,0.4,1,0,1.4,0,7.27,107.86,17.7
Шв. гн. 100x50x5,10,5,0.5,0.5,1.2,0,1.7,0,8.88,127.79,21.21
Шв. гн. 100x50x7,10,5,0.7,0.7,1.8,0,2.5,0,11.73,156.52,26.84
Шв. гн. 100x60x3,10,6,0.3,0.3,0.7,0,1,0,6.2,100.01,22.98
Шв. гн. 100x60x4,10,6,0.4,0.4,1,0,1.4,0,8.07,126.31,29.42
Шв. гн. 100x80x3,10,8,0.3,0.3,0.7,0,1,0,7.4,128.25,50.47
Шв. гн. 100x80x4,10,8,0.4,0.4,1,0,1.4,0,9.67,163.19,65.01
Шв. гн. 100x80x5,10,8,0.5,0.5,1.2,0,1.7,0,11.87,195.54,78.73
Шв. гн. 100x120x8,10,12,0.8,0.8,2,0,2.8,0,24.27,405.91,350.77
Шв. гн. 100x160x4,10,16,0.4,0.4,1,0,1.4,0,16.07,310.73,430.44
Шв. гн. 110x26x2.5,11,2.6,0.25,0.25,0.6,0,0.85,0,3.77,56.98,1.91
Шв. гн. 110x50x4,11,5,0.4,0.4,1,0,1.4,0,7.67,135.31,18.32
Шв. гн. 110x50x5,11,5,0.5,0.5,1.2,0,1.7,0,9.38,160.81,22
Шв. гн. 120x25x4,12,2.5,0.4,0.4,1,0,1.4,0,6.07,99.29,2.54
Шв. гн. 120x50x3,12,5,0.3,0.3,0.7,0,1,0,6.2,131.86,14.76
Шв. гн. 120x60x4,12,6,0.4,0.4,1,0,1.4,0,8.87,193.52,31.48
Шв. гн. 120x60x5,12,6,0.5,0.5,1.2,0,1.7,0,10.88,231.6,38.03
Шв. гн. 120x60x6,12,6,0.6,0.6,1.4,0,2,0,12.8,265.77,44.06
Шв. гн. 120x75x4,12,7.5,0.4,0.4,1,0,1.4,0,10.07,233.91,58.39
Шв. гн. 120x80x4,12,8,0.4,0.4,1,0,1.4,0,10.47,247.37,69.73
Шв. гн. 120x80x5,12,8,0.5,0.5,1.2,0,1.7,0,12.88,297.77,84.7
Шв. гн. 120x90x7,12,9,0.7,0.7,1.8,0,2.5,0,18.79,425.7,154.54
Шв. гн. 120x105x8,12,10.5,0.8,0.8,2,0,2.8,0,23.47,543.64,262.65
Шв. гн. 130x135x8,13,13.5,0.8,0.8,2,0,2.8,0,29.07,834.22,546.18
Шв. гн. 140x40x2.5,14,4,0.25,0.25,0.6,0,0.85,0,5.22,138.17,7
Шв. гн. 140x60x4,14,6,0.4,0.4,1,0,1.4,0,9.67,278.47,33.2
Шв. гн. 140x60x5,14,6,0.5,0.5,1.2,0,1.7,0,11.88,334.59,40.19
Шв. гн. 140x60x6,14,6,0.6,0.6,1.4,0,2,0,14,385.54,46.69
Шв. гн. 140x70x5,14,7,0.5,0.5,1.2,0,1.7,0,12.88,380.17,61.95
Шв. гн. 140x80x4,14,8,0.4,0.4,1,0,1.4,0,11.27,352.48,73.78
Шв. гн. 140x80x5,14,8,0.5,0.5,1.2,0,1.7,0,13.88,425.75,89.81
Шв. гн. 145x65x3,14.5,6.5,0.3,0.3,0.7,0,1,0,7.85,252.27,32.53
Шв. гн. 145x75x5,14.5,7.5,0.5,0.5,1.2,0,1.7,0,13.63,437.5,76.04
Шв. гн. 160x40x3,16,4,0.3,0.3,0.7,0,1,0,6.8,225.22,8.51
Шв. гн. 160x40x5,16,4,0.5,0.5,1.2,0,1.7,0,10.88,341.16,13.08
Шв. гн. 160x50x4,16,5,0.4,0.4,1,0,1.4,0,9.67,334.07,20.68
Шв. гн. 160x50x5,16,5,0.5,0.5,1.2,0,1.7,0,11.88,401.24,24.98
Шв. гн. 160x60x3,16,6,0.3,0.3,0.7,0,1,0,8,299.17,26.84
Шв. гн. 160x60x4,16,6,0.4,0.4,1,0,1.4,0,10.47,382.75,34.62
Шв. гн. 160x60x5,16,6,0.5,0.5,1,0,1.5,0,12.96,467.05,42.25
Шв. гн. 160x60x6,16,6,0.6,0.6,1.4,0,2,0,15.2,533.32,48.92
Шв. гн. 160x75x8,16,7.5,0.8,0.8,2,0,2.8,0,21.87,787.44,115.44
Шв. гн. 160x80x2.5,16,8,0.25,0.25,0.6,0,0.85,0,7.72,315.7,50.22
Шв. гн. 160x80x4,16,8,0.4,0.4,1,0,1.4,0,12.07,480.12,77.29
Шв. гн. 160x80x5,16,8,0.5,0.5,1.2,0,1.7,0,14.88,581.49,94.24
Шв. гн. 160x120x6,16,12,0.6,0.6,1.4,0,2,0,22.4,960.43,338.38
Шв. гн. 160x160x6,16,16,0.6,0.6,1.4,0,2,0,27.2,1245.16,742.04
Шв. гн. 170x70x5,17,7,0.5,0.5,1.2,0,1.7,0,14.38,602.31,66.23
Шв. гн. 170x70x6,17,7,0.6,0.6,1.4,0,2,0,17,699.18,77.37
Шв. гн. 180x50x4,18,5,0.4,0.4,1,0,1.4,0,10.47,446.01,21.37
Шв. гн. 180x70x5,18,7,0.5,0.5,1.2,0,1.7,0,14.88,690.41,67.47
Шв. гн. 180x70x6,18,7,0.6,0.6,1.4,0,2,0,17.6,802.37,78.86
Шв. гн. 180x70x7,18,7,0.7,0.7,1.8,0,2.5,0,20.13,895.65,89.12
Шв. гн. 180x80x4,18,8,0.4,0.4,1,0,1.4,0,12.87,631.9,80.37
Шв. гн. 180x80x5,18,8,0.5,0.5,1.2,0,1.7,0,15.88,766.99,98.11
Шв. гн. 180x80x6,18,8,0.6,0.6,1.4,0,2,0,18.8,893.23,114.93
Шв. гн. 180x80x8,18,8,0.8,0.8,2,0,2.8,0,24.27,1107.95,145.09
Шв. гн. 180x100x5,18,10,0.5,0.5,1.2,0,1.7,0,17.88,920.16,182.13
Шв. гн. 180x100x6,18,10,0.6,0.6,1.4,0,2,0,21.2,1074.96,214.06
Шв. гн. 180x130x8,18,13,0.8,0.8,2,0,2.8,0,32.27,1700.06,563.65
Шв. гн. 200x60x4,20,6,0.4,0.4,1,0,1.4,0,12.07,655.73,37
Шв. гн. 200x80x4,20,8,0.4,0.4,1,0,1.4,0,13.67,809.42,83.09
Шв. гн. 200x80x5,20,8,0.5,0.5,1.2,0,1.7,0,16.88,984.24,101.52
Шв. гн. 200x80x6,20,8,0.6,0.6,1.4,0,2,0,20,1148.38,119.05
Шв. гн. 200x100x5,20,10,0.5,0.5,1.2,0,1.7,0,18.88,1174.41,188.88
Шв. гн. 200x100x6,20,10,0.6,0.6,1.4,0,2,0,22.4,1374.27,222.2
Шв. гн. 200x160x8,20,16,0.8,0.8,2,0,2.8,0,38.67,2611.1,1040.1
Шв. гн. 205x38x2.5,20.5,3.8,0.25,0.25,0.6,0,0.85,0,6.74,345.1,6.6
Шв. гн. 206x75x6,20.6,7.5,0.6,0.6,1.4,0,2,0,19.76,1172.61,100.14
Шв. гн. 210x57x4,21,5.7,0.4,0.4,1,0,1.4,0,12.23,713.12,32.39
Шв. гн. 250x25x3,25,2.5,0.3,0.3,0.7,0,1,0,8.6,557.77,2.328
Шв. гн. 250x60x4,25,6,0.4,0.4,1,0,1.4,0,14.07,1134.22,39.18
Шв. гн. 250x60x5,25,6,0.5,0.5,1.2,0,1.7,0,17.38,1379.26,47.7
Шв. гн. 250x60x6,25,6,0.6,0.6,1.4,0,2,0,20.6,1609.27,55.77
Шв. гн. 250x90x8,25,9,0.8,0.8,2,0,2.8,0,31.47,2705.51,227.26
Шв. гн. 250x125x6,25,12.5,0.6,0.6,1.4,0,2,0,28.4,2770.46,444.78
Шв. гн. 270x100x7,27,10,0.7,0.7,1.8,0,2.5,0,30.63,3164.2,279.91
Шв. гн. 280x60x3.9,28,6,0.39,0.39,1,0,1.39,0,14.9,1468.9,39.3
Шв. гн. 280x60x6,28,6,0.6,0.6,1.4,0,2,0,22.4,2142.56,57.34
Шв. гн. 300x80x6,30,8,0.6,0.6,1.4,0,2,0,26,3072.29,134
Шв. гн. 310x100x6,31,10,0.6,0.6,1.4,0,2,0,29,3885.79,255.01
