,h,b,s,t,r1,r2,a,A,J,J
20 Ш1,19.4,15,0.6,0.9,1.3,0,0,39.01,2690,507.1
25 Ш1,24.4,17.5,0.7,1.1,1.6,0,0,56.24,6122,984.3
30 Ш1,29.4,20,0.8,1.2,1.8,0,0,72.38,11339,1602.9
30 Ш2,30,20.1,0.9,1.5,1.8,0,0,87.38,14210,2033.8
35 Ш1,33.4,24.9,0.8,1.1,2,0,0,83.17,17108,2834.1
35 Ш2,34,25,0.9,1.4,2,0,0,101.51,21678,3650.5
40 Ш1,38.3,29.9,0.95,1.25,2.2,0,0,112.91,30556,5575.4
40 Ш2,39,30,1,1.6,2.2,0,0,135.95,38676,7207.1
45 Ш1,44,30,1.1,1.8,2.4,0,0,157.38,56072,8110.3
50 Ш1,48.2,30,1.1,1.5,2.6,0,0,145.52,60371,6762.4
50 Ш2,48.7,30,1.45,1.75,2.6,0,0,176.34,71867,7896.4
50 Ш3,49.3,30,1.55,2.05,2.6,0,0,198.86,83441,9249.7
50 Ш4,49.9,30,1.65,2.35,2.6,0,0,221.38,95282,10603.4
60 Ш1,58.2,30,1.2,1.7,2.8,0,0,174.49,102717,7668
60 Ш2,58.9,30,1.6,2.05,2.8,0,0,217.41,126201,9257.4
60 Ш3,59.7,30,1.8,2.45,2.8,0,0,252.37,150043,11067.3
60 Ш4,60.5,30,2,2.85,2.8,0,0,287.33,174458,12879.3
70 Ш1,69.2,30,1.3,2,2.8,0,0,211.49,172433,9022.9
70 Ш2,69.8,30,1.5,2.3,2.8,0,0,242.53,198791,10381.1
70 Ш3,70.7,30,1.8,2.75,2.8,0,0,289.09,239032,12422.4
70 Ш4,71.5,30,2.05,3.15,2.8,0,0,329.39,275138,14240.2
70 Ш5,72.5,30,2.3,3.65,2.8,0,0,375.69,319793,16512.3
80 Ш1,78.2,30,1.35,1.7,2.8,0,0,209.71,205458,7676.7
80 Ш2,79.2,30,1.4,2.2,2.8,0,0,243.45,253655,9928.9
90 Ш1,88.1,29.9,1.5,1.85,2.8,0,0,243.96,292583,8278.5
90 Ш2,89,29.9,1.5,2.3,2.8,0,0,270.87,345335,10283.3
100 Ш1,99,32,1.6,2.1,3,0,0,293.8,446039,11517.9
100 Ш2,99.8,32,1.7,2.5,3,0,0,328.88,516373,13710
100 Ш3,100.6,32,1.8,2.9,3,0,0,363.96,587730,15903
100 Ш4,101.3,32,1.95,3.25,3,0,0,400.58,655449,17828.8