0.0,0.1,0.25,0.5,0.75,1,1.25,1.5,1.75,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,8,9,10,12,14,17,20
0.5,967,922,850,782,722,669,620,577,538,469,417,370,337,307,280,260,237,222,210,183,164,150,125,106,90,77
1,925,854,778,711,653,600,563,520,484,427,382,341,307,283,259,240,225,209,196,175,157,142,121,103,86,74
1.5,875,804,716,647,593,548,507,470,439,388,347,312,283,262,240,223,207,195,182,163,148,134,114,99,82,70
2,813,742,653,587,536,496,457,425,397,352,315,286,260,240,222,206,193,182,170,153,138,125,107,94,79,67
2.5,742,672,587,526,480,442,410,383,357,317,287,262,238,220,204,190,178,168,158,144,130,118,101,90,76,65
3,667,597,520,465,425,395,365,342,320,287,260,238,217,202,187,175,166,156,147,135,123,112,97,86,73,63
3.5,587,522,455,408,375,350,325,303,287,258,233,216,198,183,172,162,153,145,137,125,115,106,92,82,69,60
4,505,447,394,356,330,309,289,270,256,232,212,197,181,168,158,149,140,135,127,118,108,98,88,78,66,57
4.5,418,382,342,310,288,272,257,242,229,208,192,178,165,155,146,137,130,125,118,110,101,93,83,75,64,55
5,354,326,295,273,253,239,225,215,205,188,175,162,150,143,135,126,120,117,111,103,95,88,79,72,62,53
5.5,302,280,256,240,224,212,200,192,184,170,158,148,138,132,124,117,112,108,104,95,89,84,75,69,60,51
6,258,244,223,210,198,190,178,172,166,153,145,137,128,120,115,109,104,100,96,89,84,79,72,66,57,49
6.5,223,213,196,185,176,170,160,155,149,140,132,125,117,112,106,101,97,94,89,83,80,74,68,62,54,47
7,194,186,173,163,157,152,145,141,136,127,121,115,108,102,98,94,91,87,83,78,74,70,64,59,52,45
8,152,146,138,133,128,121,117,115,113,106,100,95,91,87,83,81,78,76,74,68,65,62,57,53,47,41
9,122,117,112,107,103,100,98,96,93,88,85,82,79,75,72,69,66,65,64,61,58,55,51,48,43,38
10,100,97,93,91,90,85,81,80,79,75,72,70,69,65,62,60,59,58,57,55,52,49,46,43,39,35
11,83,79,77,76,75,73,71,69,68,63,62,61,60,57,55,53,52,51,50,48,46,44,40,38,35,32
12,69,67,64,63,62,60,59,59,58,55,54,53,52,51,50,49,48,47,46,44,42,40,37,35,32,29
13,62,61,54,53,52,51,51,50,49,49,48,48,47,45,44,43,42,41,41,39,38,37,35,33,30,27
14,52,49,49,48,48,47,47,46,45,44,43,43,42,41,40,40,39,39,38,37,36,36,34,32,29,26